imagename,sizeImage,panelsOnImage,box_id,sizeBox,IoU,PanelSize,Front,Night,Occluded
test_images/image185.jpg,"(650, 1170)",1,0,"(383, 218)",0.8679817267004906,0.12193819855358316,0,1,0
test_images/image61.jpg,"(727, 729)",1,0,"(624, 431)",0.9447459550692585,0.4973555755561971,1,1,0
test_images/image235.jpg,"(666, 1000)",1,0,"(229, 146)",0.9334016093635699,0.047896396396396396,0,0,0
test_images/image247.jpg,"(683, 1024)",1,0,"(0, 0)",0,-1,0,0,0
test_images/image79.jpg,"(1113, 999)",1,0,"(979, 562)",0.8729810052978421,0.4671463916746936,1,0,0
test_images/image141.jpg,"(400, 700)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image209.jpg,"(1840, 3264)",1,0,"(0, 0)",0,-1,0,0,0
test_images/image227.jpg,"(675, 900)",1,0,"(338, 242)",0.9142125480153649,0.1267901234567901,1,0,0
test_images/image16.jpg,"(534, 800)",1,0,"(341, 204)",0.8985680683365659,0.15771067415730336,1,0,0
test_images/image150.jpg,"(567, 800)",1,0,"(452, 192)",0.8055265460498462,0.22873015873015873,0,1,0
test_images/image156.jpg,"(466, 832)",1,0,"(266, 148)",0.827355118713301,0.11779877847474414,0,0,0
test_images/image55.jpg,"(611, 635)",1,0,"(483, 469)",0.49762245455161447,0.3800559299972937,1,0,0
test_images/image188.jpg,"(1382, 1843)",1,0,"(0, 0)",0,-1,1,0,1
test_images/image230.jpg,"(768, 1024)",1,0,"(374, 219)",0.8666574975071347,0.10144678751627605,0,0,0
test_images/image157.jpg,"(674, 1200)",1,0,"(291, 218)",0.9178548010796139,0.0758160237388724,1,0,0
test_images/image0.jpg,"(1840, 3264)",1,0,"(573, 417)",0.9085381885105823,0.03724524456521739,1,0,0
test_images/image121.jpg,"(433, 768)",1,0,"(299, 192)",0.7737823834196891,0.13342595265588914,1,0,1
test_images/image43.jpg,"(1600, 1200)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image5.jpg,"(338, 600)",1,0,"(193, 134)",0.8516079310586422,0.12985207100591717,1,1,0
test_images/image177.jpg,"(2000, 3000)",1,0,"(1061, 631)",0.9438133640552996,0.11281783333333334,0,0,0
test_images/image151.jpg,"(710, 1024)",2,0,"(0, 0)",0,-1,1,0,0
test_images/image151.jpg,"(710, 1024)",2,1,"(0, 0)",0,-1,1,0,0
test_images/image20.jpg,"(753, 1004)",1,0,"(475, 291)",0.8916761838118312,0.1941397755591181,1,0,0
test_images/image87.jpg,"(2848, 4272)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image117.jpg,"(765, 1024)",1,0,"(0, 0)",0,-1,1,0,1
test_images/image208.jpg,"(350, 800)",1,0,"(0, 0)",0,-1,1,1,0
test_images/image238.jpg,"(2048, 1536)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image118.jpg,"(530, 750)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image225.jpg,"(413, 550)",1,0,"(0, 0)",0,-1,0,0,0
test_images/image250.jpg,"(683, 1024)",1,0,"(257, 127)",0.8701563562202583,0.04663908080161054,0,1,0
test_images/image155.jpg,"(1141, 1922)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image240.jpg,"(326, 516)",2,0,"(156, 99)",0.8873879560661533,0.08298259380796119,1,0,0
test_images/image240.jpg,"(326, 516)",2,1,"(0, 0)",0,-1,1,0,0
test_images/image124.jpg,"(620, 940)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image192.jpg,"(900, 1200)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image134.jpg,"(450, 998)",2,0,"(0, 0)",0,-1,1,1,0
test_images/image134.jpg,"(450, 998)",2,1,"(0, 0)",0,-1,1,1,0
test_images/image45.jpg,"(753, 1004)",1,0,"(425, 263)",0.9190275908479139,0.1520769511595054,1,0,0
test_images/image101.jpg,"(330, 620)",1,0,"(0, 0)",0,-1,1,0,0
test_images/image68.jpg,"(1339, 1004)",1,0,"(667, 422)",0.9772277296990982,0.20945791144607528,1,0,0
